supplier_id,quality_score,delivery_score,flexibility_score,innovation_score,esg_score,risk_score,ppm_simulated,otif_simulated,avg_lead_time_days,response_time_hours,warranty_claim_rate,rnd_ratio,scope3_score,digital_maturity_score
GSUP_00158,93.37,81.68,67.04,64.36,49.52,31.49,50.0,0.7398,9.3,10.4,0.0089,0.13,48.7,2.7
GSUP_00355,80.65,83.5,86.61,50.82,41.37,36.77,1653.0,0.7218,10.5,40.9,0.0478,0.143,33.5,1.8
GSUP_00466,92.51,89.36,69.02,47.3,63.57,25.54,240.0,0.7899,6.7,30.6,0.0068,0.1114,62.6,1.5
GSUP_00145,83.68,85.09,86.58,53.86,77.3,39.13,955.0,0.8379,7.6,68.5,0.0452,0.1174,63.6,1.7
GSUP_00354,84.61,83.25,78.38,60.06,61.51,46.69,345.0,0.83,6.6,6.3,0.017,0.1225,48.1,2.2
GSUP_00260,82.0,84.77,78.9,70.88,62.54,36.87,283.0,0.8029,6.7,27.1,0.0362,0.2,45.5,2.7
GSUP_00512,92.1,83.58,71.17,49.85,57.41,19.16,1023.0,0.8253,6.8,8.7,0.0072,0.1148,38.7,2.0
GSUP_00518,70.82,79.67,89.59,45.28,54.98,31.74,663.0,0.754,9.0,58.1,0.1007,0.0972,39.0,1.6
GSUP_00549,79.85,82.7,66.92,54.48,57.07,42.53,129.0,0.7071,8.7,4.5,0.0195,0.1176,41.3,2.7
GSUP_00083,92.81,87.72,87.07,84.55,74.31,17.64,58.0,0.8768,14.4,27.6,0.0173,0.1754,61.4,3.2
GSUP_00297,87.89,84.8,63.82,50.29,55.33,32.62,245.0,0.7334,6.3,39.6,0.0161,0.119,41.6,2.0
GSUP_00591,95.24,91.47,84.1,61.73,52.54,21.48,16.0,0.8711,7.5,12.5,0.0153,0.1766,43.0,2.1
GSUP_00442,91.01,90.26,81.3,50.41,63.47,16.7,242.0,0.8014,7.2,76.0,0.0064,0.1397,57.2,1.8
GSUP_00087,82.02,81.6,71.61,58.09,54.95,42.83,329.0,0.7416,8.9,47.6,0.0345,0.1285,43.5,1.9
GSUP_00250,91.17,91.8,55.46,73.78,64.82,33.94,401.0,0.8692,10.8,10.4,0.0278,0.1826,62.3,3.0
GSUP_00139,91.21,88.51,65.03,79.73,75.35,14.29,172.0,0.8103,6.0,2.2,0.0126,0.1705,54.4,3.4
GSUP_00090,77.15,79.59,69.6,79.55,74.21,42.36,2803.0,0.7064,7.2,10.4,0.0354,0.1649,58.6,2.9
GSUP_00248,82.3,77.8,92.92,72.79,74.6,38.86,142.0,0.7004,10.8,9.9,0.0205,0.2,57.0,2.8
GSUP_00123,79.56,85.08,79.71,55.65,64.4,43.07,560.0,0.7668,7.3,55.0,0.0037,0.1185,56.2,1.7
GSUP_00231,99.42,93.72,74.27,53.25,63.69,23.84,42.0,0.9315,4.3,84.0,0.0002,0.1143,39.8,2.5
GSUP_00204,70.4,75.93,90.0,51.24,53.67,56.29,1369.0,0.7364,8.7,3.8,0.063,0.194,35.7,2.3
GSUP_00273,69.23,74.09,84.11,65.78,52.78,41.89,4850.0,0.6808,9.3,17.3,0.0328,0.1344,41.7,2.2
GSUP_00527,86.28,80.43,71.28,50.36,41.53,30.01,721.0,0.7077,9.8,21.1,0.0108,0.1293,41.0,1.9
GSUP_00446,87.02,88.27,70.72,74.97,71.34,20.26,330.0,0.8577,5.9,4.3,0.0541,0.2,58.2,3.5
GSUP_00243,74.02,78.44,74.15,44.55,56.54,30.12,531.0,0.6852,8.9,13.4,0.0139,0.1034,38.5,1.7
GSUP_00391,80.99,79.74,82.24,38.9,41.95,25.34,1052.0,0.703,9.0,11.2,0.0193,0.0778,27.6,1.6
GSUP_00097,86.24,84.96,59.93,73.55,64.82,33.58,1220.0,0.7688,7.9,20.4,0.0016,0.1565,60.2,2.8
GSUP_00110,87.03,84.09,88.13,78.88,58.39,28.57,1884.0,0.8258,17.1,28.0,0.0068,0.1601,43.6,3.3
GSUP_00193,83.66,84.25,81.92,59.92,69.73,36.2,259.0,0.7328,6.3,31.2,0.0327,0.1306,51.1,2.9
GSUP_00498,91.52,90.28,77.37,63.81,65.93,15.06,1234.0,0.784,14.0,5.5,0.0105,0.1588,60.1,3.0
GSUP_00263,83.45,81.84,71.76,77.33,76.45,25.17,135.0,0.7562,9.2,42.2,0.0314,0.1662,66.2,3.4
GSUP_00025,82.78,82.95,77.02,62.93,67.1,25.0,188.0,0.7394,11.2,29.2,0.0451,0.1372,60.0,2.4
GSUP_00237,79.57,84.96,73.94,60.25,44.21,56.42,86.0,0.7947,7.7,54.8,0.0205,0.1368,30.6,2.4
GSUP_00076,81.21,80.66,71.03,45.04,66.08,33.54,189.0,0.7402,8.7,16.3,0.0092,0.1075,45.2,1.7
GSUP_00548,83.76,80.22,61.71,58.97,50.66,33.39,745.0,0.7342,13.3,55.8,0.0225,0.1567,41.2,2.8
GSUP_00572,90.22,86.42,90.05,46.72,57.78,28.19,588.0,0.7491,12.5,50.2,0.0156,0.1008,47.9,2.1
GSUP_00381,86.52,80.59,83.11,85.67,76.88,48.09,689.0,0.7021,7.7,15.8,0.023,0.2,63.3,3.4
GSUP_00479,88.57,90.76,80.49,40.01,58.62,12.36,414.0,0.8832,5.5,13.5,0.041,0.0967,54.3,1.1
GSUP_00106,75.03,75.16,86.9,84.57,58.97,39.34,548.0,0.7387,10.0,66.8,0.0854,0.1763,38.5,3.4
GSUP_00179,82.47,87.58,76.4,61.39,69.34,16.27,653.0,0.7753,12.4,32.1,0.0247,0.1298,59.8,2.9
GSUP_00137,81.63,77.8,76.53,59.72,59.72,12.05,393.0,0.6746,8.6,65.2,0.019,0.1284,42.3,2.4
GSUP_00324,86.71,85.87,63.89,75.98,66.08,23.54,772.0,0.7368,9.0,40.3,0.0099,0.1715,57.1,2.7
GSUP_00247,94.33,90.68,69.48,55.71,53.29,29.75,290.0,0.8535,8.6,24.6,0.0135,0.1167,40.3,1.8
GSUP_00152,84.4,85.31,81.16,60.36,66.81,24.23,563.0,0.8166,10.5,5.0,0.0122,0.1713,49.4,2.3
GSUP_00252,79.31,82.64,85.2,69.12,73.76,39.51,514.0,0.7486,9.0,10.3,0.0432,0.1554,56.0,3.2
GSUP_00218,85.19,84.17,66.85,40.15,47.77,33.22,1001.0,0.8013,7.7,85.2,0.0252,0.1308,31.0,2.1
GSUP_00130,82.41,81.92,97.69,43.98,54.34,32.83,252.0,0.784,16.9,11.2,0.0165,0.0889,43.7,2.2
GSUP_00109,82.79,85.15,92.24,72.17,72.91,45.71,253.0,0.8432,8.8,4.3,0.0259,0.1527,54.5,3.1
GSUP_00065,85.89,86.55,71.28,44.09,43.53,25.13,650.0,0.7441,9.6,31.5,0.0177,0.0886,38.8,1.8
GSUP_00038,85.61,84.16,86.07,59.22,67.15,35.75,319.0,0.7397,7.4,33.8,0.0135,0.1248,56.9,2.5
GSUP_00077,75.13,81.65,79.95,49.92,65.92,19.91,1742.0,0.7024,10.0,10.1,0.0194,0.1395,61.2,2.0
GSUP_00482,68.82,74.91,69.13,54.28,55.55,44.1,538.0,0.7343,8.9,10.5,0.0594,0.1093,46.3,2.4
GSUP_00228,95.41,90.26,69.05,60.35,74.08,22.65,310.0,0.8745,5.8,17.2,0.0047,0.1322,61.9,2.3
GSUP_00338,81.16,84.51,83.82,80.39,77.17,22.24,1401.0,0.7912,9.9,2.5,0.0177,0.1633,68.7,3.4
GSUP_00511,94.9,92.91,82.46,41.24,49.77,28.66,96.0,0.8014,6.6,39.4,0.0049,0.0933,36.7,1.3
GSUP_00357,94.26,88.9,68.5,50.82,47.59,18.81,127.0,0.7921,8.7,11.2,0.008,0.1381,30.6,1.8
GSUP_00529,85.61,81.81,80.1,64.89,53.07,49.97,183.0,0.7319,7.6,48.1,0.0353,0.1493,43.5,2.9
GSUP_00401,74.96,80.43,87.21,64.68,70.36,14.05,265.0,0.7513,9.7,40.9,0.0233,0.1561,49.2,3.0
GSUP_00308,77.44,73.41,75.0,44.02,64.48,41.74,811.0,0.6524,10.1,28.0,0.0305,0.0966,63.9,1.8
GSUP_00547,85.44,82.47,78.31,64.57,60.35,32.97,167.0,0.71,9.2,11.4,0.0374,0.1869,55.6,2.1
GSUP_00582,79.67,80.77,74.61,60.4,56.69,33.13,1300.0,0.7751,7.9,19.4,0.0236,0.1455,56.2,2.8
GSUP_00232,83.0,85.31,83.76,54.51,60.74,27.62,819.0,0.7634,9.7,16.1,0.0128,0.12,48.9,2.4
GSUP_00517,69.57,74.91,74.41,66.09,71.46,43.43,318.0,0.6876,12.9,11.9,0.0369,0.1433,59.9,2.6
GSUP_00118,90.06,92.47,59.35,56.47,62.56,37.85,384.0,0.8037,5.4,47.2,0.0182,0.1631,47.7,2.4
GSUP_00068,83.47,79.83,92.44,76.17,85.55,17.6,463.0,0.7746,8.1,17.9,0.015,0.1695,72.9,3.0
GSUP_00404,80.14,78.4,66.2,55.49,65.5,28.35,152.0,0.7329,10.6,44.9,0.0259,0.1355,46.3,2.2
GSUP_00563,96.65,89.32,64.86,52.18,44.75,14.37,56.0,0.8801,8.7,4.7,0.0072,0.1152,23.1,2.5
GSUP_00463,79.93,80.11,83.44,64.88,64.66,25.03,360.0,0.7405,10.6,5.6,0.0348,0.1348,47.8,2.3
GSUP_00276,96.14,91.05,65.96,62.67,68.42,28.04,168.0,0.9025,8.2,92.9,0.0008,0.1511,47.5,2.1
GSUP_00089,77.56,85.52,89.28,60.04,58.53,41.46,686.0,0.8414,7.4,23.3,0.0499,0.1388,54.2,1.9
GSUP_00124,75.5,77.08,72.17,68.94,64.07,49.78,814.0,0.7219,9.1,19.1,0.0185,0.1518,60.3,2.6
GSUP_00164,92.24,82.81,90.55,60.86,44.69,35.09,380.0,0.8199,7.3,19.8,0.0063,0.1413,28.7,2.1
GSUP_00375,79.42,80.54,63.79,73.21,62.49,42.99,908.0,0.7236,7.4,7.8,0.0303,0.1511,56.4,2.6
GSUP_00245,88.72,85.28,76.42,53.79,52.65,15.94,480.0,0.7716,9.5,32.4,0.0207,0.1392,46.9,1.7
GSUP_00035,91.51,92.09,86.32,61.76,58.09,41.46,402.0,0.789,4.9,4.1,0.0283,0.1827,38.6,2.2
GSUP_00180,91.41,87.81,81.53,59.89,59.82,25.85,115.0,0.824,13.8,22.4,0.0053,0.1641,45.9,2.2
GSUP_00464,81.17,79.5,66.68,68.45,68.97,45.9,1286.0,0.7618,12.4,22.3,0.0311,0.1447,52.3,2.3
GSUP_00461,86.66,82.14,82.05,44.75,39.53,18.26,397.0,0.7935,12.4,60.9,0.0269,0.0999,35.4,1.9
GSUP_00415,87.31,86.57,87.73,78.97,83.67,27.96,738.0,0.7553,12.8,19.9,0.0147,0.191,60.8,3.2
GSUP_00567,69.17,74.44,70.67,58.7,66.85,52.51,747.0,0.6823,9.7,5.5,0.0854,0.1355,53.0,1.9
GSUP_00369,86.02,85.42,71.5,58.02,72.34,31.64,105.0,0.7487,11.5,22.4,0.0455,0.1319,54.4,2.4
GSUP_00564,91.01,84.86,67.17,37.68,46.1,21.5,247.0,0.8056,6.5,4.3,0.0151,0.1276,39.2,2.0
GSUP_00186,91.86,88.93,82.93,61.28,69.32,40.49,124.0,0.7769,5.3,7.5,0.0036,0.1379,54.4,2.9
GSUP_00114,90.13,90.74,80.78,37.19,55.78,16.0,425.0,0.8944,9.5,2.8,0.0042,0.0889,41.9,1.0
GSUP_00359,86.66,79.72,80.24,50.05,54.01,32.55,310.0,0.7052,7.3,19.3,0.0207,0.101,42.1,2.3
GSUP_00364,91.07,84.55,80.32,48.65,50.33,35.5,613.0,0.7556,19.5,4.1,0.0156,0.0987,50.4,1.8
GSUP_00451,82.33,81.86,77.24,51.92,49.9,55.23,677.0,0.8003,10.0,17.2,0.045,0.104,37.8,1.6
GSUP_00468,95.29,93.93,73.93,64.7,65.55,19.59,173.0,0.863,8.4,66.9,0.0068,0.1783,47.2,2.4
GSUP_00037,91.28,92.3,78.72,59.89,56.16,23.91,145.0,0.7878,5.4,32.5,0.0106,0.1303,47.8,2.2
GSUP_00200,83.32,80.54,69.63,54.46,75.89,29.73,2129.0,0.7443,10.3,3.9,0.0262,0.1216,60.0,2.2
GSUP_00052,83.69,87.46,86.87,43.14,55.94,34.3,957.0,0.7545,5.6,8.1,0.0226,0.1236,37.7,1.9
GSUP_00478,85.73,89.16,88.48,43.38,36.33,36.26,755.0,0.8897,10.6,28.9,0.0143,0.1056,40.2,2.0
GSUP_00452,87.84,88.14,80.92,70.11,61.98,40.57,189.0,0.8269,5.9,56.0,0.0378,0.159,47.8,2.6
GSUP_00082,91.81,88.47,77.63,58.61,57.18,35.12,220.0,0.786,8.9,2.8,0.0128,0.1242,43.9,2.2
GSUP_00362,95.61,90.74,61.4,54.63,55.41,20.0,70.0,0.848,5.6,42.2,0.002,0.1452,45.1,2.0
GSUP_00256,81.91,81.34,65.03,81.5,83.81,42.78,437.0,0.7008,6.9,21.8,0.0246,0.1666,75.7,3.1
GSUP_00101,82.51,80.12,79.12,58.89,65.17,35.62,93.0,0.7771,8.9,21.0,0.0396,0.1189,43.7,2.9
GSUP_00216,79.62,79.19,76.46,59.73,61.16,43.89,540.0,0.783,7.7,78.0,0.035,0.1237,50.3,2.7
GSUP_00383,79.65,79.32,89.51,53.98,59.17,44.4,652.0,0.7783,11.1,35.0,0.0179,0.1142,57.8,2.6
GSUP_00007,87.46,83.85,86.88,73.11,60.85,47.42,190.0,0.7557,7.0,47.5,0.0389,0.1529,49.3,3.1
GSUP_00536,82.48,78.35,95.13,51.22,63.25,31.71,363.0,0.7043,8.6,12.5,0.0351,0.1246,44.4,2.0
GSUP_00523,82.51,87.05,90.93,65.98,58.55,27.17,1141.0,0.7445,8.1,21.4,0.0112,0.1369,43.7,2.5
GSUP_00387,82.91,82.4,80.94,73.67,74.72,38.3,81.0,0.7809,7.5,24.9,0.0081,0.1699,60.8,2.9
GSUP_00346,81.36,79.3,82.8,62.67,54.95,47.36,947.0,0.7377,8.6,11.3,0.0166,0.1273,50.6,2.4
GSUP_00008,78.2,74.58,75.57,45.77,56.22,39.11,146.0,0.6853,13.2,22.3,0.0038,0.0947,43.3,2.2
GSUP_00440,95.85,93.05,93.39,57.96,54.13,36.64,38.0,0.9176,5.0,8.5,0.0119,0.1301,47.4,2.3
GSUP_00472,80.97,79.66,80.54,47.09,61.83,42.52,143.0,0.6972,7.3,5.7,0.0242,0.1452,42.3,1.7
GSUP_00043,86.89,84.92,72.39,42.02,65.31,29.07,622.0,0.723,7.2,13.2,0.0066,0.1233,45.0,2.0
GSUP_00249,86.41,82.19,92.82,62.31,61.59,37.77,234.0,0.7076,8.2,34.3,0.0184,0.1939,46.9,2.8
GSUP_00195,86.21,86.6,83.83,48.17,58.44,26.57,1018.0,0.7651,8.0,61.5,0.0062,0.1174,53.9,1.8
GSUP_00470,93.95,90.32,87.37,60.94,72.79,28.32,273.0,0.7722,6.3,16.7,0.0137,0.1444,58.6,2.6
GSUP_00587,81.41,75.51,70.17,51.36,62.86,25.91,107.0,0.6988,12.6,26.7,0.0352,0.1223,51.7,1.6
GSUP_00593,76.86,82.15,73.02,65.58,56.84,36.24,1002.0,0.737,6.7,4.6,0.0453,0.1507,46.9,2.7
GSUP_00112,85.36,87.08,85.23,45.27,52.93,41.19,81.0,0.7638,7.3,58.4,0.0212,0.0937,47.9,1.4
GSUP_00183,76.0,78.7,55.99,44.66,65.93,46.06,1160.0,0.7575,8.7,22.2,0.0415,0.105,49.7,1.3
GSUP_00449,78.64,78.4,71.32,61.57,57.85,43.37,186.0,0.6904,10.4,38.4,0.0241,0.1329,49.7,2.6
GSUP_00168,97.44,94.55,81.6,71.96,69.07,25.79,92.0,0.9012,14.3,40.0,0.0053,0.1556,51.1,2.7
GSUP_00211,89.12,87.26,68.85,68.79,62.61,30.86,578.0,0.7875,7.7,9.1,0.022,0.1524,60.0,3.0
GSUP_00484,79.68,80.41,84.3,46.71,55.21,23.36,1943.0,0.7452,19.9,20.1,0.0301,0.0962,40.2,2.3
GSUP_00528,92.36,86.32,86.9,89.45,85.51,25.86,414.0,0.8547,6.8,79.5,0.0199,0.1878,64.0,3.2
GSUP_00366,78.09,80.17,84.28,50.45,49.25,38.73,1184.0,0.6859,7.1,4.3,0.0495,0.1022,42.1,2.2
GSUP_00491,90.02,91.16,83.64,50.25,57.11,16.4,153.0,0.8433,5.3,29.6,0.006,0.1784,46.1,2.0
GSUP_00306,84.85,84.68,78.97,82.1,67.39,14.65,808.0,0.8283,7.6,80.7,0.0093,0.1667,55.6,2.9
GSUP_00266,90.2,83.17,85.88,67.42,74.73,41.24,374.0,0.7803,7.5,10.6,0.0046,0.1408,60.9,2.8
GSUP_00393,90.43,86.84,65.61,64.71,67.56,29.24,81.0,0.7742,5.9,49.4,0.0076,0.1738,48.6,2.7
GSUP_00024,87.63,85.5,78.26,52.2,50.62,32.64,211.0,0.7778,7.6,67.1,0.0213,0.1176,48.6,2.1
GSUP_00522,81.48,82.12,71.99,76.86,52.7,40.18,194.0,0.7818,7.8,35.0,0.0641,0.1566,46.6,3.5
GSUP_00208,78.75,78.98,65.7,54.77,61.22,27.11,320.0,0.7769,7.6,8.3,0.0306,0.1192,55.8,2.2
GSUP_00595,85.93,83.79,57.77,55.58,65.22,27.86,145.0,0.7174,7.3,11.8,0.0221,0.1136,49.5,2.7
GSUP_00013,69.39,69.29,66.03,54.42,57.34,59.56,973.0,0.5964,15.7,2.9,0.0583,0.1133,48.0,2.2
GSUP_00425,84.71,84.82,62.45,46.44,58.72,27.31,2614.0,0.7623,7.1,44.7,0.0268,0.094,48.0,1.5
GSUP_00127,85.34,81.99,80.08,70.95,65.74,30.07,38.0,0.7255,10.4,47.5,0.0125,0.1534,58.2,2.8
GSUP_00448,85.12,80.25,75.15,71.33,70.94,26.67,361.0,0.714,9.8,26.0,0.0154,0.1755,62.6,2.5
GSUP_00084,84.16,86.42,88.27,41.85,59.91,24.58,429.0,0.7633,7.4,12.4,0.029,0.1013,48.9,1.8
GSUP_00005,86.53,88.33,78.57,52.57,44.17,41.29,1045.0,0.7768,6.2,3.9,0.0145,0.1238,27.7,2.3
GSUP_00552,75.93,78.49,86.14,45.62,49.5,13.72,513.0,0.6825,8.7,35.6,0.0269,0.0957,48.5,1.8
GSUP_00107,86.16,89.28,72.81,53.67,58.48,25.57,372.0,0.884,7.8,33.1,0.0149,0.1158,49.6,1.7
GSUP_00155,84.32,87.24,84.96,46.07,51.7,33.92,434.0,0.7604,6.8,60.5,0.0311,0.1295,38.3,1.8
GSUP_00317,88.87,87.28,78.41,59.05,52.92,46.35,200.0,0.7686,6.3,33.5,0.0077,0.1199,44.4,1.9
GSUP_00508,86.52,82.5,71.98,79.07,72.19,20.64,27.0,0.7317,6.9,44.3,0.0138,0.1972,50.2,3.3
GSUP_00455,86.47,84.71,84.93,52.75,50.33,18.29,464.0,0.8386,12.4,34.9,0.0435,0.1187,45.5,2.4
GSUP_00437,82.29,80.56,73.84,67.93,64.48,26.08,89.0,0.7761,8.6,25.9,0.0358,0.1722,44.2,3.2
GSUP_00580,83.7,85.28,85.45,65.14,58.91,39.58,400.0,0.8259,8.9,15.4,0.0115,0.1379,46.0,2.3
GSUP_00422,96.01,89.09,69.01,77.65,58.87,26.52,45.0,0.7712,7.2,57.8,0.0064,0.1636,48.3,3.1
GSUP_00546,97.14,88.77,77.89,39.86,49.36,10.37,75.0,0.8659,11.4,27.3,0.0022,0.1076,44.7,1.7
GSUP_00226,93.29,89.65,69.61,39.96,57.75,27.46,120.0,0.8169,7.4,14.2,0.0225,0.1107,46.7,2.0
GSUP_00596,86.53,87.73,94.14,53.71,51.37,45.93,1091.0,0.7803,7.4,4.1,0.0083,0.1126,44.3,2.3
